stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
21Day,1.34,0,0,0,5.35,0,2.68,13.39,1.34,0,4.02,0,0,2.68,2.68,0,0,6.69
3Month,0,0.32,1.28,0,7.68,0.64,10.56,0.64,0.32,0.32,0.64,0,0.32,0,0,0,0,8.64
22Month,0,0,1.09,0.55,48.65,4.92,6.56,0,2.73,0,4.37,1.09,0.55,0,0,0.55,0.55,8.2
