stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,4.02,1.34,0,0,0,0,0,0,0,0,0,2.68,0,4.02,0,0,0,0,5.35,0,0,0,1.34,0,0,0
3Month,0.32,0.64,6.72,0,0.64,0.32,0.64,1.6,1.6,0.32,0.32,0.32,0.96,15.04,1.28,49.59,32.95,4.48,0.32,0.32,4.16,0.64,0.32,0.96,0.64,0,1.28,0.32
22Month,0,0.55,2.73,0,1.09,0,0,4.92,4.92,0.55,1.09,0,0,1.09,6.56,86.37,6.01,1.64,0.55,1.09,1.09,0,0,0,0.55,0.55,0,1.09
