stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0
72hpf,1.07,1.07,0,0,0,0,1.07,0,5.35,4.28,2.14,0,1.07
21Day,0,0,0,0,0,1.34,1.34,5.35,0,0,2.68,1.34,2.68
22Month,0,0,1.64,0.55,0.55,0,0,0,0,0,0,0,0
