stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,16.35,0,0,0,0,0,8.17,20.43,12.26,0,0,0,0,4.09,61.3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,11.77,3.21,3.21,0,0,0,0,0,0,0,0,0,0,25.67,133.72,1.07,9.63,0,8.56,3.21,0,42.79,32.09,2.14,0,0,9.63,26.74,0,9.63,0,1.07,0,0,0
21Day,6.69,1.34,5.35,255.66,2.68,12.05,0,1.34,1.34,8.03,0,0,91.02,70.94,46.85,6.69,18.74,151.25,46.85,26.77,0,0,16.06,0,20.08,13.39,0,2.68,0,22.76,64.25,1.34,4.02,2.68,2.68,0,0,5.35
3Month,0.32,1.92,1.6,117.74,0,0,2.24,0.64,87.99,4.8,0,0,259.16,50.23,4.48,116.78,10.56,11.52,41.59,4.8,0.96,0.32,43.51,5.44,1.92,0.64,7.68,0.32,0,0.96,16,51.19,0,0,0,1.28,7.36,6.08
22Month,0,7.65,11.48,69.43,0,0,4.92,0,84.73,36.08,86.37,0,4037.59,82,37.17,178.21,8.75,6.01,122.45,13.67,0.55,34.99,38.27,1.64,5.47,1.64,6.01,4.37,15.85,0,4.92,35.53,1.09,6.01,0,0.55,0,13.12
