stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,5.35,0,0,8.56,0,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,14.72,0,0,2.68,0,0,0,0,0,0,0
3Month,0.32,0.32,2.24,0.32,0,0.32,2.24,0,4.48,2.88,0.32,1.92,0.96,72.95,0.32,0.64,0,0,0,0.64,0.32,0,0.96,2.24
22Month,0,1.09,2.73,0,0,0.55,2.73,0.55,13.12,1.09,0,2.19,0,41,0.55,1.09,0,1.09,0.55,0,0,0.55,0,1.09
