stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,12.26,0,0
72hpf,0,0,0,0,0,1.07,0
21Day,1.34,0,0,1.34,0,0,1.34
3Month,0,0.64,0.32,0,0,0,0
