stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,0,1.07,0
21Day,1.34,0,1.34,0,0,1.34
3Month,0,0.64,0,0,0,0
