stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,3.21,0,0,0,1.07,0
21Day,9.37,1.34,0,0,0,0,5.35,1.34,2.68,0,0,0
3Month,2.24,0,0.32,0.64,0.32,0.32,0.32,0,0.32,0,0.64,0.64
22Month,0,0,0,0,1.09,0,0,0,0,0,0.55,0
