stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,1.07,1.07,0,2.14,0,0
21Day,0,4.02,0,0,0,1.34,0,0,1.34,0,0,0,1.34,4.02,2.68,0,1.34,0,1.34
22Month,0.55,1.64,0.55,9.29,0.55,0.55,1.64,0,0.55,2.73,0.55,0.55,1.64,0,0,1.09,1.09,0.55,0
