stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,1.34,0,10.71,1.34,0,0,0,0,4.02,1.34,0,0,0,1.34,0,0,0,1.34,1.34,0,0,0,0,0,1.34
3Month,0.32,0.64,0.96,5.76,0.32,0,0.96,143.02,84.15,12.48,11.2,0.32,0.32,25.92,1.6,0,0.64,9.6,0,0,0.32,0,0,2.88,1.6,0,0.32,0.96,0.32,2.88
22Month,0,1.09,0.55,1.09,0.55,0,1.09,96.21,118.08,9.84,7.11,0,0,16.95,1.64,4.37,0.55,0,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0,1.64
