stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,3.21,0,0
21Day,1.34,0,0,0,2.68,1.34,1.34,1.34,0,1.34,1.34
3Month,0.64,0.32,0,0.32,0,0,0,0,0,0,0
22Month,0,0.55,3.83,0,0,0,0,0,0,0,0
