stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Nephron_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,0.32,1.6,0.32,0,0.32,0,21.44,0.32,12.8,0.32
22Month,0,0,0.55,0,0,0,0,1.09,0,0,0
