stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,2.14,3.21,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,0,0,5.35,0,0,0,0,0
3Month,0.96,1.28,0.32,12.8,0.32,0.32,2.88,2.88,0,0,22.08,9.28,0.32,8.32,1.28,6.72,6.4,7.36,2.24,0.96,1.92,4.48,2.24,0.32,1.6,1.6,0,7.36,977.45,0.64,0.64,5.76,723.41,5.76
22Month,0,0,0.55,0,0,0,0.55,0.55,7.11,0,6.56,0,0,1.64,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,7.65,0,123,0,0,0,5.47,0
