stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,4.09,28.6,40.86,494.45,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,4.28,3.21,3.21,2.14,0,0,0,0,1.07,7.49,1.07,10.7,512.43,284.56,1.07,0,9.63,0,0,32.09,1.07,1.07,1.07,0
21Day,0,0,0,0,0,0,1.34,26.77,1.34,0,2.68,0,2.68,62.91,22.76,2.68,1.34,0,1.34,0,0,0,0,1.34,1.34
3Month,0,0,0,0,0.32,0.32,0.96,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0.32
