stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,4.28,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,2.68,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.96,0,3.2,1.28,0.96,0.32,0.32,10.56,0.32,0.32,0.64,1.92,1.28,1.92,0,0.96,0.96,0.32,0,0.32,0.32,0,2.88,7.04,0.32,13.76,4.8,1.28
22Month,0,1.09,0.55,1.64,0.55,0.55,0,0,33.35,2.19,0.55,2.73,0,1.09,2.73,2.19,0.55,0,0,0.55,0.55,0,0,0,3.28,0,1.64,0,0
