stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,12.26,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,4.28,0,0,0,0,0,0,0,0,0,4.28,0,6.42,0,0,0,41.72,10.7,0,0,3.21,0,0,1.07,1.07,0,0,0
21Day,2.68,0,0,9.37,0,0,0,0,0,0,0,1.34,0,1.34,0,6.69,0,0,2.68,10.71,2.68,1.34,0,4.02,1.34,0,0,1.34,0,0,1.34
3Month,0,0.32,0,8,0,0,0,0.96,0,5.76,0.96,0.64,0.96,3.2,0.32,3.84,0.64,0,0.32,0.32,0,0,0,0.32,0.64,1.6,0,0,0,0.64,0.64
22Month,0,4.92,0.55,3.28,0.55,1.09,0.55,1.09,1.64,10.93,1.09,1.09,1.09,1.64,1.64,7.11,0.55,2.19,0,0,0,0,1.09,0,0,0,0,0,0.55,0,0.55
