stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,2.56,1.28,13.76,2.88,0.32,0.32,0.64,0.96,15.36,0,0,0.32,0.64,3.52,26.56,5.12
22Month,0,1.09,21.87,0.55,0,0,0,0,1.64,0.55,1.09,0,0,8.2,0,0
