stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,57.21,179.8,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,63.12,11.77,0,29.95,4.28,33.16,0,0,0,0,1.07,0,1.07,0,5.35,99.49,11.77,52.42,0,1.07,4.28,0,6847.73,158.33,1.07,4.28,63.12,3.21,0,38.51,2.14,0,7.49,0,0,0
21Day,34.8,0,0,61.57,0,46.85,0,2.68,0,1.34,0,0,6.69,5.35,5.35,13.39,9.37,57.56,0,0,2.68,0,1627.66,52.2,0,12.05,18.74,40.16,2.68,18.74,5.35,9.37,1.34,0,0,4.02
3Month,0.32,0,0.32,11.52,0.32,0,0,0,0.64,0.96,5.12,0.96,0.64,2.88,0.32,1.92,0.64,8,2.56,0,0,0.64,7.36,0.32,2.24,0.32,0,0.32,10.56,0,0,0,0,0.32,0.64,0.96
22Month,0,0.55,0.55,4.37,0,0,0.55,0,0,2.73,33.35,2.19,0.55,2.19,0,1.09,1.64,6.56,2.19,0,0,0,5.47,0,2.19,0.55,0.55,0,3.83,1.09,0,0,0,0,0,0
