stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,81.73,0,0,0,0,4.09,0,0,0,0,0,20.43,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,68.47,0,0,0,0,0,0,0,1.07,0,0,195.77,0,4.28,0,0,0,0,11.77,5.35,0,2.14,0,0,0,0,0,0,0
21Day,5.35,1.34,0,338.65,6.69,0,1.34,0,0,5.35,0,2.68,0,4.02,191.41,6.69,2.68,0,0,1.34,0,12.05,1.34,0,5.35,4.02,0,0,1.34,0,0,2.68
3Month,0.64,0.96,0,297.55,0,1.6,0.32,2.24,40.63,8.32,4.48,0.96,4.48,4.48,113.26,18.88,6.4,0.64,0,1.28,0.64,0,0,1.6,0.96,3.2,3.2,0.32,0,8.96,2.56,5.76
22Month,0,1.09,1.09,89.1,0,1.09,0,0,43.73,26.24,3.28,1.64,3.28,0,32.25,9.84,1.64,0,1.64,0.55,0,0,0,0.55,0,0,1.64,0,0,1.09,0,1.09
