stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,56.7,2.14,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,8.56,6.42,0,0,1.07,0,0,1.07,0,0,0,0
21Day,4.02,2.68,1.34,527.38,0,9.37,0,0,0,4.02,0,1.34,1.34,1.34,5.35,4.02,10.71,0,0,4.02,0,24.09,6.69,0,0,5.35,10.71,0,4.02,0,0,0,0
3Month,0,0.64,0.32,201.57,0.32,0,0,1.6,0.32,7.36,5.76,0.32,4.16,0,5.12,1.28,1.6,0.32,0.32,0.64,0.64,0.64,0,0.32,0,0,1.6,0.64,0.32,0,0.64,0.32,2.88
22Month,0,0,0,59.04,0,0,1.09,1.64,0.55,7.11,1.09,0,1.64,0,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0.55,0,0,1.64,0,0,0.55
