stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,12.84,9.63,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,5.35,0,0,0,0,0,1.34,0,0,0,0,4.02,0,0,0,0,14.72,1.34,0,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0,1.6,0.64,9.92,0.32,0,0.32,1.28,2.24,10.56,1.28,0.64,3.52,0.32,2.88,0.64,3.2,0.32,0,0.64,0.32,0.96,0,0.32,0.32,0,0.64,5.76,0,0.32,1.6,22.4,0.96
22Month,0,0,0,2.19,0,0,0,1.09,0.55,13.12,0,0,0.55,0,0.55,2.19,0.55,0,0.55,0,0,0,0,0.55,0,0.55,0.55,0.55,0,0,0,0,0
