stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0
3Month,0,0.64,3.52,0.32,0.96,0.64,0.96,1.6,0.64,0.64,0.64,0.32,0.32,0,2.24,1.6,11.52,0.96
