stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0,1.07,0,1.07,10.7,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0,0,2.56,0.32,0.32,0.64,0,0.32,0,0,0.32
22Month,0,0.55,0.55,8.2,0,0.55,0,0.55,0,0,0.55,0
