stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,286.05,20.43,0,0,0,0,4.09,277.88,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,10.7,0,0,0,1.07,0,0,1.07,18.19,5.35,0,3.21,0,0,95.21,41.72,0,3.21,0,0,0,0,0,1.07,2.14,0,0,0
21Day,9.37,1.34,1.34,13.39,0,5.35,0,6.69,0,0,14.72,0,0,8.03,66.93,2.68,0,4.02,66.93,10.71,0,0,0,0,42.83,29.45,0,2.68,0,5.35,4.02,0,1.34,0,0,0,0,60.23
3Month,1.28,0.96,1.92,20.48,0,0,1.6,1.6,0.32,3.2,284.75,0,19.52,72.95,1.92,6.72,0.96,7.68,74.87,10.24,1.6,0.96,3.2,2.56,1.28,0.96,1.28,1.28,0,0,4.16,0.32,58.23,0.32,0,5.12,8.64,346.19
22Month,0,2.19,0,7.11,0.55,0,5.47,0.55,0,1.09,505.66,2.19,19.13,6.56,2.73,2.73,0.55,2.19,162.9,6.01,0,1.09,0.55,0.55,0,0,0.55,1.09,2.19,0,1.09,0,28.43,1.09,0.55,0.55,0,106.6
