stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,44.95,4.09,0,0,0,0,0,0,0,0,0,12.26,20.43,44.95,0,0,0,0,4.09,93.99,0,0,8.17,0,0,0,0,0,0,0
72hpf,2.14,4.28,0,3.21,0,0,0,0,0,0,0,1.07,0,3.21,4.28,1.07,8.56,0,2.14,0,0,2.14,1.07,0,1.07,5.35,0,0,0,0,0,0,0
21Day,2.68,1.34,1.34,18.74,1.34,4.02,0,0,0,0,0,6.69,0,4.02,10.71,2.68,14.72,0,0,0,0,2.68,9.37,0,0,6.69,5.35,0,1.34,1.34,1.34,0,1.34
3Month,0,0.64,0,4.48,0.32,0,0,0.64,0.32,2.56,1.28,0,1.92,0.64,0.64,0.32,1.28,0.64,0,1.28,0.64,0,0,0.32,0.64,0.32,0,0.32,0,0,1.6,0.64,2.88
22Month,0,1.09,0,1.64,0,0,0.55,0,0.55,1.09,0,0,1.64,0,0,0.55,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
