stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,13.91,4.28,4.28,1.07,0,0,0
21Day,0,1.34,2.68,0,0,0,0,0,0,0,0,18.74,1.34,1.34,0,1.34,1.34,0
3Month,0,0.64,0.64,0,0,0.32,0.64,0.32,0.32,0.32,0.32,0,0,1.6,0,0,0,0.96
22Month,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
