stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,8.56,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,9.37,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.64,0.32,9.28,0,0.96,2.24,0.32,14.72,2.24,0,3.52,1.6,2.56,3.84,1.92,0.32,0,0.64,0,0,0.64,0,0.32,0.96,2.56,0,0,0.32,2.24
22Month,0.55,1.09,1.64,4.92,1.09,1.09,6.56,3.28,97.3,3.83,1.09,11.48,0,1.64,4.37,9.84,0.55,2.19,0.55,0.55,0.55,0,0.55,0.55,0,0.55,1.09,0.55,0,4.37
