stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,16.35,0,0,0,257.44,0,4.09,0,0,0,0,0
72hpf,2.14,2.14,0,6.42,0,1.07,0,1.07,0,0,0,0,0,0,0,5.35,0,20.33,0,0,12.84,46,0,8.56,0,1.07,0,0,0
21Day,6.69,0,0,6.69,5.35,9.37,0,4.02,0,0,1.34,0,4.02,0,0,0,1.34,29.45,5.35,0,5.35,14.72,0,9.37,0,4.02,1.34,0,0
3Month,0,0,0.32,7.04,0,0,0,0.32,0.32,2.56,4.48,2.88,0,0.64,0,1.28,0.96,0.32,0,0.64,0.32,0,0.32,0,23.68,0,0.96,78.39,3.2
22Month,0,0,0,0.55,0,0,0.55,0,0,1.09,2.19,0.55,0.55,0,0,0,1.64,1.64,0,0,0,0,0,0,0.55,0,0,0,0
