stage,Cardiomyocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0
3Month,0,0.32,0.96,0,0.64,0.32,0,0.32,0.32,1.28,24,0.32
22Month,0,0,1.09,0.55,0,0,0,0,0,0,0,0
