stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,12.26,4.09,4.09,0,0,0,8.17,0,114.42,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,25.67,1.07,0,0,0,0,0,0,0,0,0,3.21,6.42,0,2.14,0,0,2.14,20.33,5.35,0,0,0,5.35,0,2.14,22.47,0,0,0,0,0
21Day,1.34,0,0,1.34,16.06,1.34,0,0,0,0,0,0,0,0,0,0,2.68,1.34,12.05,0,1.34,0,2.68,4.02,0,2.68,0,6.69,1.34,4.02,5.35,0,0,0,0,0
3Month,0.32,0.96,1.28,52.47,8,0,0.32,0.32,1.92,2.56,3.84,17.6,4.48,0.64,7.68,15.36,7.04,4.8,20.48,2.24,0.32,2.88,10.56,0.64,1.92,0.32,0,0.96,3.2,280.6,4.8,0,2.56,2.88,731.4,4.48
22Month,0,0.55,1.09,26.79,0,0,0,0,0.55,0.55,1.64,12.57,1.64,0.55,2.19,3.83,0,2.19,8.75,0,0,0.55,3.28,0.55,1.64,1.64,1.09,0.55,0,77.08,28.97,0.55,0,0,2.19,0
