stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.96,0,0,1.28,0.64,0.32,0,0,0,0,0.32,8.32,0.32,1.92
22Month,0,0,0.55,0.55,1.64,0,0,0.55,0.55,0,0,0,7.65,0,0
