stage,Cardiomyocyte,Endothelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,8.17,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0
72hpf,2.14,6.42,0,0,0,0,0,0,0,0,1.07,3.21,2.14,1.07,0,0,0
21Day,0,4.02,0,0,0,0,2.68,0,1.34,1.34,0,0,2.68,0,0,0,0
3Month,0,0.64,0,0,0.32,0.64,0,0.32,0.64,0.32,0,0.32,0,0,0,0.96,0
22Month,0,2.73,0.55,0.55,3.28,1.64,0,0,2.73,2.73,0,0.55,0,0.55,1.09,0.55,0.55
