stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,4.28,12.84,0,0,0,0,1.07,0
21Day,1.34,0,5.35,1.34,0,0,0,0,0,0,0,6.69,44.17,0,0,0,0,0,0
3Month,0,1.28,10.24,0,0.96,0.64,0,5.76,0.96,0.64,0.96,0,0.32,1.6,0,0,0,0,0.64
22Month,0,0,20.77,0,0.55,3.28,0.55,10.93,7.65,0,0.55,0.55,127.37,0.55,0,0.55,0.55,0,0.55
