stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,12.84,4.28,0,1.07,1.07,0,0,0,0,0,85.58,1.07,0,25.67,0,0,0,0,18.19,12.84,0,0,21.4,46,0,2.14,0,0,0,0,0
21Day,2.68,0,4.02,70.94,1.34,0,1.34,0,0,2.68,0,1.34,2.68,4.02,1.34,0,10.71,0,0,0,0,4.02,1.34,2.68,0,4.02,153.93,0,1.34,0,0,0,0,0
3Month,0.64,0,10.24,507.44,0,0.96,12.8,1.92,0,62.07,8.32,0.64,98.86,1.92,4.16,5.12,3.84,1.92,0,1.6,1.6,1.92,0.32,17.28,1.92,0,48.63,16.96,0.96,0.32,0.32,1.6,342.99,3.84
22Month,0.55,1.64,8.2,741.81,0,0,4.37,6.01,3.83,74.89,3.28,0,91.29,0,1.09,5.47,3.28,0.55,2.73,1.09,0,1.09,0,30.61,0.55,0,38.27,7.65,0.55,1.09,0,0,1.64,2.19
