stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,12.26,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,8.17,126.68,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,1.07,0,0,0,0,0,0,1.07,0,3.21,12.84,0,4.28,0,2.14,0,14.98,21.4,0,9.63,0,0,2.14,0,1.07,0,0,0
21Day,2.68,0,22.76,8.03,2.68,0,1.34,0,1.34,1.34,2.68,2.68,1.34,4.02,1.34,14.72,0,0,0,6.69,10.71,0,5.35,4.02,0,0,1.34,0,0,0,1.34
3Month,0,0.32,2.88,0,0.32,0,1.6,0,15.36,0.96,0,0.96,0,0.96,1.92,2.24,0.64,0,0.32,0.32,0,0,0.32,0.32,2.56,0,0,0,0.32,9.28,0.96
22Month,0,1.64,1.09,0,0,0.55,2.19,0.55,21.32,0.55,0,3.28,0,0,2.73,0,0,0.55,0,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0
