stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,4.09,4.09,85.81,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,4.28,4.28,0,1.07,0,0
21Day,0,1.34,0,1.34,0,0,0,0,1.34,0,0,1.34,1.34,1.34,0,1.34
3Month,0.64,0,0,0,0.32,0,0,0.32,0.32,0,0,0,0,0,0.32,0
22Month,0,0.55,0,0,0.55,9.84,0.55,0,0,1.09,0,0,0,0,0,0
