stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0.32,0,0.32,0.32,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0,2.56,0,0,0,0,0,0.32,0
22Month,18.04,169.46,133.93,278.25,3.83,46.47,7.11,2.19,53.03,215.93,154.7,107388.12,80.36,26.79,375.55,31.71,39.36,143.77,256.38,7.65,383.2,107.69,7.65,21.32,4.37,29.52,64.51,138.3,1.09,27.88,20.77,17.49,76.53,0.55,3.83,19.13,0,101.68
