stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,0,0,0,1.07,2.14,0,3.21,0,0,0,0,0,0
21Day,0,0,0,13.39,0,0,0,0,13.39,0,1.34,1.34,0,0,1.34,1.34,2.68,0,0,2.68,1.34,0,0,0,0,1.34,1.34,0,2.68
3Month,0,0.64,0.32,5.12,0.32,0,0.32,9.92,25.6,5.12,0.96,0,0.96,0.64,0.32,0.64,0.96,0.32,1.6,0.32,0,0.32,0.64,0.64,0.96,0,0,0.64,0.96
22Month,0,0.55,0,6.56,0,2.19,0,8.75,47.56,3.28,0,0,0,0,0,0.55,0.55,0.55,0,0,0,0,0.55,0,0.55,0,0,0,1.64
