stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,28.6,8.17,4.09,0,0,0,4.09,0,0,0,4.09,0,8.17,28.6,0,0,4.09,0,1115.59,0,12.26,0,0,0,0,0
72hpf,9.63,4.28,3.21,9.63,0,0,0,0,0,0,6.42,6.42,1.07,16.05,1.07,0,1.07,172.24,92,0,23.54,0,26.74,0,3.21,0
21Day,4.02,1.34,2.68,10.71,6.69,0,0,1.34,1.34,1.34,0,0,0,32.12,0,4.02,0,44.17,29.45,1.34,2.68,2.68,33.46,1.34,0,0
3Month,0,0.64,3.52,0,0,0.32,0,1.6,0,0,0,0.32,0,1.6,0,0,0,0,0,0,0,0,0.64,0,0,0.96
22Month,0,0,0,0,0,0,0,4.92,0.55,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0.55,0,0,0
