stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,3.21,2.14,3.21,0,0,0,0,7.49,0,3.21,29.95,3.21,10.7,1.07,1.07,1606.83,39.58,0,2.14,13.91,0,6.42,3.21,0,1.07,0,0
21Day,1.34,0,14.72,0,25.43,1.34,0,0,1.34,26.77,0,0,9.37,1.34,10.71,0,1.34,702.73,9.37,1.34,6.69,9.37,9.37,8.03,2.68,8.03,1.34,0,2.68
3Month,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0.55,0,0,0.55,1.09,3.28,0,0,1.09,0,0,0,0.55,0.55,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0
