stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,69.47,0,0,0,0,0,0,0,0,0,44.95,4.09,53.12,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0
72hpf,34.23,12.84,0,21.4,1.07,3.21,0,0,0,0,0,0,2.14,97.35,6.42,34.23,0,0,1.07,148.7,19.26,14.98,0,0,2.14,1.07,0,0,0
21Day,12.05,0,0,2.68,0,0,0,0,0,0,0,0,0,0,8.03,21.42,0,0,5.35,2.68,0,2.68,0,0,0,0,0,0,0
3Month,0,1.28,0,5.44,0,0,1.28,0.64,0,9.6,2.56,0.96,0.32,2.24,2.56,2.88,0.32,0,27.2,0,0.32,0,2.56,12.48,0,0,0.32,1.6,1.92
22Month,0,0.55,1.64,0,0,0,0,2.19,0.55,10.39,0.55,1.09,0,0,1.64,1.64,0,1.09,2.19,0.55,0,0,0,9.84,0,0,0.55,0,0
