stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0
3Month,0,0,0,0,0.64,0,0,0,0.32,0,0,0.32,0.32
22Month,0.55,1.09,0.55,0.55,3.28,0.55,0,1.64,0,0.55,0,0.55,0
