stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell
72hpf,0,0,0,2.14,0,3.21
21Day,2.68,0,0,1.34,1.34,0
22Month,0.55,0.55,0.55,0,0,0
