stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,4.09,0,0,0
21Day,0,1.34,0,0,1.34,1.34,0,0,0,0
3Month,0,0,0.32,0,0.32,0,0,0.64,5.44,0.64
22Month,0.55,0,3.83,0,0,0,0,0,0,0
