stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,5.35,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,1.34,5.35,0,0,0,1.34,4.02,0,0,0,0,0,0,0
3Month,1.92,0,4.48,0,0.64,0,3.84,0,0,2.56,0.32,1.92,2.56,1.92,0,0.96,0,0,0,0.32,0.32,0.32,0.32,1.6,2.24
22Month,1.09,1.09,3.83,0.55,0.55,0.55,8.75,0.55,0.55,2.73,0,1.09,1.64,2.19,1.09,0.55,0,0,0.55,0,0,0.55,0,0.55,0
