stage,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Oligodendrocyte,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0
3Month,0,0,0,0.32,0,0,0.32,0.32
22Month,1.09,0,2.19,0,0.55,0.55,0,0
