stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,0,81.73,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,0,0,5.35,10.7,0,0,2.14,0,0,3.21,0,0,0,0
21Day,0,2.68,18.74,0,1.34,0,0,0,0,0,0,2.68,0,0,0,0,2.68,1.34,14.72,0,0,1.34,0,12.05,5.35,0,0,4.02,0,0,0,0,0,0,0
3Month,0.96,0.96,14.08,0.64,0,0,0.32,3.52,1.28,0,0,35.19,0.64,0,2.88,0.96,2.56,0.32,3.52,0.64,0,1.28,1.92,1.28,0,1.92,2.24,0.32,0.32,2.88,2.24,0.96,5.12,0.32,0.96
22Month,1.09,1.09,12.03,0,0,0.55,0,2.73,2.19,3.28,0,126.82,0.55,0.55,5.47,0,2.19,0,1.64,0.55,3.83,0.55,0.55,0.55,0.55,1.64,2.73,0,0,0,2.19,0,1.09,0,0
