stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34
3Month,0,0.32,0.96,0.64,0.64,0.96,0.32,1.28,0.32,0,0.32,0.32,0.32,0.32,1.28
22Month,0.55,0,0,0,0.55,0.55,0,1.09,0,0,1.09,0,0,0,0.55
