stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,2.14,0,1.07,1.07,1.07,1.07,1.07,0,2.14,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,2.24,1.92,0,0.64,0.64,0.32,0.32,0.64,1.6,0.32,0,0,0,0,0,0.32,0,0.32,0.64,0.96
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
