stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,0,0,0
72hpf,6.42,0,4.28,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,1.07,0,20.33,6.42,0,0,0,0,0
21Day,2.68,0,5.35,1.34,4.02,0,0,0,0,0,2.68,1.34,2.68,0,1.34,0,0,0,0,0,0,0,2.68,0,1.34
3Month,0,0,1.6,0,0.32,0,0.32,0,7.04,0,0,0.64,0.64,0.64,0.32,0.32,0,0.32,0,0,0.32,0,0,0.32,0.32
22Month,0,0.55,3.83,0,0,1.09,5.47,0.55,20.77,1.64,0.55,0.55,0,4.37,0,0,0,0,0,0,1.09,0,0.55,0,1.64
