stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0
21Day,0,0,2.68,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,1.34,0,0
3Month,0,0,1.28,0,0,1.28,0.32,5.44,0.96,0.32,1.92,0.32,0.32,0.32,0.32,0,0,0,0,0,0.32,0.64,0,0.32,0.96
22Month,0,0.55,2.73,0,0.55,0.55,2.19,26.24,1.09,0.55,3.83,1.09,1.09,2.73,0,0.55,0,0.55,0.55,0,0,0,0,0,1.09
