stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,2.14,1.07,0,0,0,0,0,2.14,0,1.07,116.61,3.21,4.28,0,0,0
21Day,1.34,0,1.34,0,1.34,0,0,0,0,0,8.03,0,1.34,40.16,0,0,1.34,1.34,1.34
3Month,0,0,0,0,0,0,0,0.64,0.32,0.32,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0.55,0.55,2.19,0,0,0.55,0,0,0,0,0,0,0,0
