stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Neural_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,2.14,0,0,0
21Day,1.34,0,1.34,0,0,4.02,1.34,0,0
3Month,0,0,0.64,0,0,0,0,0.32,0
22Month,0,0.55,2.73,0.55,0,0,0,0,0.55
