stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,28.6,0,0,0,0,0,0,0,0,0,0,0,16.35,0,12.26,32.69,0,0,0,0,12.26,261.53,0,0,8.17,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,10.7,1.07,2.14,0,1.07,0,0,1.07,0,0,2.14,0,4.28,13.91,0,13.91,0,1.07,0,0,29.95,92,1.07,0,14.98,1.07,0,7.49,1.07,1.07,0,0,0
21Day,16.06,1.34,1.34,24.09,1.34,12.05,0,4.02,0,0,1.34,0,1.34,17.4,0,1.34,5.35,2.68,37.48,0,0,2.68,0,20.08,45.51,0,0,10.71,5.35,1.34,5.35,0,0,0,0,2.68
3Month,0,0.96,0,16,0.32,0,0.64,0.32,0,1.6,1.28,4.16,1.92,1.6,4.16,0.32,1.92,1.92,2.56,0.96,0,0.64,0.32,0.96,0.64,5.76,0,0,0.96,25.28,0,0,0,1.28,13.44,1.28
22Month,0.55,1.64,0.55,7.11,0,0,1.64,1.64,0.55,1.09,7.65,16.95,1.09,1.64,2.19,1.09,7.11,4.92,5.47,0.55,1.09,0,0,0,0,7.65,0.55,0,0.55,10.93,1.09,0,0,0,0,1.09
