stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,4.09,12.26,0,0,20.43,0,4.09,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,4.28,0,3.21,1.07,24.61,4.28,0,2.14,0,2.14,1.07,1.07,0,0
21Day,1.34,1.34,0,8.03,2.68,0,1.34,1.34,0,9.37,2.68,1.34,0,2.68,0,0,0,0,1.34
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.32,0
