stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,3.21,4.28,0,0,0,0,0,1.07,4.28,1.07,4.28,0,161.54,5.35,1.07,2.14,2.14,0,0,2.14,1.07,0,0
21Day,5.35,1.34,1.34,2.68,0,1.34,0,0,0,1.34,0,0,0,0,12.05,0,45.51,1.34,0,2.68,1.34,2.68,0,1.34,0,0,0
3Month,0,0.32,0,0.64,0.32,0,0.32,2.24,0.64,0,0,0,0.32,0,2.24,0.32,0,0,0,0,0,0,6.4,0,0,0.64,2.56
22Month,0,0,0,0,0,0,0,3.28,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,1.64,0.55,0,0,0
