stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,8.56,0,1.07,0,0,0,0,0,0,0,0,0,16.05,0,1.07,0,90.93,6.42,0,6.42,2.14,0,0,8.56,0
21Day,10.71,0,5.35,2.68,0,0,0,0,0,2.68,0,0,30.79,0,2.68,1.34,44.17,4.02,0,9.37,1.34,5.35,0,1.34,0
3Month,0,0,4.16,0,0.32,0.32,0,0.32,0.64,0,0.96,0.32,0.32,0.32,0.32,0.64,0,0,0.32,0.32,0,0.32,0.32,0,0.64
22Month,0.55,0.55,2.73,0,0.55,3.28,1.64,19.13,0,0.55,0.55,0,0.55,2.19,3.83,0,0,0,0,0.55,0,0,0,0,0.55
