stage,Enterocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,T_cell
21Day,0,2.68,0,1.34,1.34,0
3Month,0,0,0.96,0,0,0
22Month,0.55,0,9.84,0,0,0.55
