stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,12.26,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0.32,0.32,0.96,0,0,0,0,0,0.32,0.32
22Month,0.55,0,0,1.64,0,0.55,0,0.55,0,0,0,0,0.55
