stage,Endothelial.cell,Epithelial.cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal.cell,Muscle.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,0,0,12.2592137185505,0,0
72hpf,0,0,0,0,0,1.06979114146608,0,2.13958228293216,0,12.8374936975929,2.13958228293216,1.06979114146608,5.34895570733039
21Day,0,0,1.33853308820331,0,0,2.67706617640661,0,1.33853308820331,1.33853308820331,12.0467977938298,0,0,5.35413235281323
3Month,0,0.319949299554195,0,0,0,0,0,2.87954369598776,0.319949299554195,0,0,0,0
22Month,1.09330930239487,0,0,0.546654651197433,1.09330930239487,0,0.546654651197433,1.6399639535923,0,0,0,0,0
