stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,28.6,0,0,4.09,0,0,0,8.17,0,0,0,0,0,16.35,4.09,44.95,0,0,0,12.26,314.65,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,8.56,14.98,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,0,5.35,4.02,0,2.68,0,0,0,0,0,0,0,0,2.68,0,0,5.35,0,0,1.34,4.02,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0,0,2.88,0,0,0.32,0.64,0,0,0,56.31,0.64,0.32,2.88,0,0.32,0.64,0.32,0.32,0,0,0.32,0.32,0,0,2.88,7.04,0,0,0.64,2.56,0.64
22Month,0,1.64,0.55,2.19,0,0.55,0,0,4.37,1.09,0,40.45,0,1.09,3.83,0,0.55,1.64,6.56,2.19,3.28,1.64,0,0,0.55,0,0.55,2.19,0,0,0,0,0
