stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0.32,2.88,0,1.28,0,0.64,0.32,0,16,0,0.64,0,0,0,0.32,0,0.32,0,0.32,0,0.64,1.28
22Month,0,0.55,0,1.64,0.55,0.55,0.55,4.92,0,0,20.23,0.55,2.19,2.19,0.55,0.55,1.09,0.55,0,0,0,0.55,0.55,0
