stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,0.32,0.96,0.32,0,0.32,0,0,0.32,0,0.32,0,0
22Month,0,0,5.47,0,0.55,0,0.55,1.09,0.55,0,0,0.55,0
