stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,1.6,0.64,0.64,0,5.12,0.64,1.92,0.96,0.96,0.64,0.64,0.32,0.32,0,0.32,0.32,0.64,2.24,0.64,155.18,0.96
22Month,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
